ontology,repair_id,mean_ms,n
TESTEX,B8,7128.51,100
TESTEX,B9,4053.28,100
VIMM,A1,173.06,100
VIMM,A2,6463.83,100
VIMM,A3,431.12,100
VIMM,B2,3560.27,100
VIMM,B3,2215.16,100
VIMM,B4,140.91,100
VIMM,B5,2540.2,100
VIMM,B6,1683.01,100
VIMM,B7,190.14,100
VIMM,B8,2713.16,100
VIMM,B9,1753.43,100
VRD,A1,50.11,100
VRD,A2,233.59,100
VRD,A3,231.81,100
VRD,B2,660.37,100
VRD,B3,354.3,100
VRD,B4,30.02,100
VRD,B5,271.69,100
VRD,B6,157.72,100
VRD,B7,30.77,100
VRD,B8,217.66,100
VRD,B9,149.73,100
bctt,A1,136.71,100
bctt,A2,1299.98,100
bctt,A3,560.93,100
bctt,B2,3439.17,100
bctt,B3,2025.99,100
bctt,B4,136.31,100
bctt,B5,4740.41,100
bctt,B6,2776.02,100
bctt,B7,178.21,100
bctt,B8,5193.79,100
bctt,B9,3233.58,100
overall,A1,122.12755102040816,4900
overall,A2,6020.083673469388,4900
overall,A3,465.11224489795916,4900
overall,B2,2935.9065306122448,4900
overall,B3,1766.6328571428571,4900
overall,B4,147.84897959183672,4900
overall,B5,3111.2567346938777,4900
overall,B6,2031.5257142857142,4900
overall,B7,181.23367346938775,4900
overall,B8,3312.248163265306,4900
overall,B9,2181.698163265306,4900
